caminhando,3.306197044E0,8.711249352E0,-4.558749676E0,3.026249886E0
caminhando,3.331197044E0,8.216249466E0,-4.444999695E0,3.843750000E0
caminhando,3.356197044E0,7.212499619E0,-4.967499733E0,3.148749828E0
caminhando,3.381197044E0,6.143749714E0,-3.949999809E0,1.993749976E0
caminhando,3.406197044E0,6.014999866E0,-3.031250000E0,1.577499986E0
caminhando,3.431197044E0,5.871249676E0,-3.289999962E0,1.886249900E0
caminhando,3.456197044E0,5.734999657E0,-3.347499847E0,2.523749828E0
caminhando,3.481197044E0,5.612499714E0,-3.547499895E0,1.771250010E0
caminhando,3.506197044E0,6.014999866E0,-3.769999981E0,1.132499933E0
caminhando,3.531197044E0,6.014999866E0,-4.086249828E0,1.771250010E0
caminhando,3.556197044E0,7.463749886E0,-3.720000029E0,1.828750014E0
caminhando,3.581197044E0,9.041250229E0,-5.742499828E0,6.087499857E-1
caminhando,3.606197044E0,9.069999695E0,-7.004999638E0,1.512499928E0
caminhando,3.631197044E0,8.517499924E0,-6.381249905E0,2.847499847E0
caminhando,3.656197044E0,8.123749733E0,-4.458749771E0,4.023749828E0
caminhando,3.681197044E0,8.574999809E0,-2.730000019E0,4.202499866E0
caminhando,3.706197044E0,9.493749619E0,-2.579999924E0,1.914999962E0
caminhando,3.731197044E0,1.107124996E1,-3.568749905E0,1.721249938E0
caminhando,3.756197044E0,1.235499954E1,-3.806249857E0,2.402499914E0
caminhando,3.781197044E0,1.195374966E1,-4.393749714E0,2.596250057E0
caminhando,3.806197044E0,1.050500011E1,-4.788749695E0,3.162499905E0
caminhando,3.831197044E0,9.693749428E0,-4.558749676E0,4.733749866E0
caminhando,3.856197044E0,9.198749542E0,-3.877499819E0,4.927499771E0
caminhando,3.881197044E0,9.113749504E0,-3.654999971E0,4.662499905E0
caminhando,3.906197044E0,9.386249542E0,-3.267499924E0,4.231249809E0
caminhando,3.931197044E0,9.457499504E0,-3.274999857E0,4.123749733E0
caminhando,3.956197044E0,9.472499847E0,-3.031250000E0,3.707499981E0
caminhando,3.981197044E0,1.005249977E1,-2.687500000E0,3.549999952E0
caminhando,4.006197044E0,1.034000015E1,-2.443749905E0,4.303750038E0
caminhando,4.031197044E0,1.046875000E1,-1.726249933E0,4.023749828E0
caminhando,4.056197044E0,1.032499981E1,-1.689999938E0,3.263749838E0
caminhando,4.081197044E0,1.026749992E1,-1.582499981E0,3.041249990E0
caminhando,4.106197044E0,1.015999985E1,-1.288749933E0,3.757499933E0
caminhando,4.131197044E0,1.056999969E1,-1.166249990E0,4.246249676E0
caminhando,4.156197044E0,1.061250019E1,-1.252499938E0,3.277499914E0
caminhando,4.181197044E0,1.119374943E1,-1.144999981E0,3.664999962E0
caminhando,4.206197044E0,1.254249954E1,-4.424999952E-1,3.234999895E0
